Date,Deaths
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,1.0
2020-02-22,2.0
2020-02-23,3.0
2020-02-24,7.0
2020-02-25,10.0
2020-02-26,12.0
2020-02-27,17.0
2020-02-28,21.0
2020-02-29,29.0
2020-03-01,34.0
2020-03-02,52.0
2020-03-03,79.0
2020-03-04,107.0
2020-03-05,148.0
2020-03-06,197.0
2020-03-07,233.0
2020-03-08,366.0
2020-03-09,463.0
2020-03-10,631.0
2020-03-11,827.0
2020-03-12,1016.0
2020-03-13,1266.0
2020-03-14,1441.0
2020-03-15,1809.0
2020-03-16,2158.0
2020-03-17,2503.0
2020-03-18,2978.0
2020-03-19,3405.0
2020-03-20,4032.0
2020-03-21,4825.0
2020-03-22,5476.0
2020-03-23,6077.0
2020-03-24,6820.0
2020-03-25,7503.0
2020-03-26,8215.0
2020-03-27,9134.0
2020-03-28,10023.0
2020-03-29,10779.0
2020-03-30,11591.0
2020-03-31,12428.0
2020-04-01,13155.0
2020-04-02,13915.0
2020-04-03,14681.0
2020-04-04,15362.0
2020-04-05,15887.0
2020-04-06,16523.0
2020-04-07,17127.0
2020-04-08,17669.0
2020-04-09,18279.0
2020-04-10,18849.0
2020-04-11,19468.0
2020-04-12,19899.0
2020-04-13,20465.0
2020-04-14,21067.0
2020-04-15,21645.0
2020-04-16,22170.0
2020-04-17,22745.0
2020-04-18,23227.0
2020-04-19,23660.0
2020-04-20,24114.0
2020-04-21,24648.0
2020-04-22,25085.0
2020-04-23,25549.0
2020-04-24,25969.0
2020-04-25,26384.0
2020-04-26,26644.0
2020-04-27,26977.0
2020-04-28,27359.0
2020-04-29,27682.0
2020-04-30,27967.0
2020-05-01,28236.0
2020-05-02,28710.0
2020-05-03,28884.0
2020-05-04,29079.0
2020-05-05,29315.0
2020-05-06,29684.0
2020-05-07,29958.0
2020-05-08,30201.0
2020-05-09,30395.0
2020-05-10,30560.0
2020-05-11,30739.0
2020-05-12,30911.0
2020-05-13,31106.0
2020-05-14,31368.0
2020-05-15,31610.0
